Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
San Bernardo Cerro del arroyo con volcan tinguiririca;109990000;3;18-04-2025;5;135;128;4;San Bernardo;-336.206.545;-707.130.823;Movahome Corredores Integrados
Pudahuel Isla Hannover con Isla de Pascua;110000000;2;18-04-2025;5;128;105;1;Pudahuel;-3.345.769.055.455.080;-7.076.269.438.072.670;Grupo Premium Propiedades Santiago
La Reina Las perdices 0570;585734250;3;18-04-2025;4;175;310;2;La Reina;-334.362.894;-705.369.474;Easyprop
El Bosque Ochagavia con Victor Jara;180370200;4;18-04-2025;7;159;159;1;El Bosque;-3.355.221.086.352.970;-7.069.131.848.360.590;Grupo Premium Propiedades Santiago
Quilicura Rio llico;76000000;1;17-04-2025;2;65;82;1;Quilicura;-333.600.124;-7.075.835.099.999.990;Margarita Leiva Catalan
Lampa Las Ventanas;169000000;3;17-04-2025;3;111;270;2;Lampa;-332.971.881;-708.821.683;Casol Propiedades
Lampa Los Halcones;236000000;5;17-04-2025;4;111;252;;Lampa;-332.954.566;-7.087.570.889.999.990;Casol Propiedades
San Miguel cuasimodo 3747;150000000;1;17-04-2025;4;94;180;;San Miguel;-3.348.997.053;-7.064.286.607;Gescor - Los Mejores Corredores de Propiedades
Puente Alto Oportunidad casa villa el alba puente alto (92137);121000000;2;17-04-2025;3;75;130;2;Puente Alto;-335.477.522;-705.604.156;AArgomedo Propiedades
Independencia Venta de casa en independencia;150000000;2;17-04-2025;4;114;114;2;Independencia;-334.191.957;-706.737.127;
Renca Calle la punta;120000000;2;17-04-2025;3;96;96;;Renca;-333.979.143;-707.420.645;
Puente Alto Venta de casa en puente alto;120000000;2;17-04-2025;3;96;96;3;Puente Alto;-336.169.673;-70.567.669;
Renca Venta de casa jardin poniente ii renca;122000000;2;17-04-2025;3;66;66;1;Renca;-333.948.691;-70.753.538;
Renca Avenida brasil;115000000;1;17-04-2025;4;70;70;;Renca;-334.013.855;-707.476.636;
Las Condes Calle ralun esquina quivo;894426750;4;17-04-2025;5;277;774;;Las Condes;-333.698.888;-705.014.909;Unne
Maipu Ciudad satelite maipu;109800750;3;17-04-2025;3;94;118;;Maipu;-335.595.387;-707.826.309;Brokers Inmobiliarios
Las Condes Camino La Posada;2110050000;4;17-04-2025;5;765;2360;;Las Condes;-3.337.260.185.156.380;-705.101.876.657.937;Berrios Zegers
San Miguel 8va Avenida - Gran Avenida;410287500;2;17-04-2025;3;291;469;4;San Miguel;-335.110.942.335.024;-706.597.745.346.818;Nexxos
Pudahuel Avenida Isla Grande de tierra del fuego;137544000;2;17-04-2025;4;70;107;2;Pudahuel;-334.625.591;-707.611.652;Grupo Premium Propiedades Santiago
La Reina Principe de gales;422010000;3;17-04-2025;3;137;183;;La Reina;-334.391.655;-705.637.866;Unne
San Ramon Sitio a 2 cuadras de metro Sta Rosa (92109);65177100;1;17-04-2025;3;90;114;;San Ramon;-335.409.895;-706.342.994;One Way Gestores Inmobiliarios
Providencia Casa Para Remodelacion (92161);437952600;2;17-04-2025;5;194;280;;Providencia;-334.439.038;-706.175.976;SANHER Propiedades
San Bernardo Avenida Central;125040000;2;17-04-2025;3;63;100;1;San Bernardo;-3.361.844.749.999.990;-706.977.536;Houm
La Florida Oportunidad 5550 mt2 terreno  con casa-piscin (91894);663806100;3;17-04-2025;5;260;5550;5;La Florida;-335.353.362;-705.460.435;C&a Propiedades
Puente Alto Casa en avenida $57.000.000 (91030);57000000;1;17-04-2025;2;40;87;1;Puente Alto;-336.303.982;-706.084.006;Aquí Pronto Propiedades
Colina Impecable y full equipada (91885);468509250;3;17-04-2025;4;140;500;2;Colina;-332.574.504;-70.636.002;NDM Propiedades
Colina Casa nueva chicureo norte/ venta sin comision (92065);253987500;3;17-04-2025;4;113;276;2;Colina;-332.302.931;-706.840.742;
Santiago Propiedad de 380 en Nuble con Av. Vicuna Mackenna;220000000;2;17-04-2025;4;529;380;2;Santiago;-334.694.377;-706.294.916;Corretajes Prosal
Las Condes Pdte.Errazuriz/Malaga;578310000;3;17-04-2025;5;140;188;1;Las Condes;-3.341.923.853.772.580;-7.058.534.015.356.380;Lyon y Balmaceda Ltda.
Colina En venta hermosa casa en Chamisero (91907);558772500;5;17-04-2025;4;220;498;3;Colina;-333.196.214;-7.064.415;Chicureo Propiedades
Padre Hurtado Santa herminia;284466000;3;17-04-2025;3;110;270;;Padre Hurtado;-335.671.666;-708.307.195;Brokers Inmobiliarios
La Reina Colegio Santo Domingo  (91938);859650000;4;17-04-2025;5;250;700;3;La Reina;-334.500.847;-705.199.384;ASESORIA LEGAL Y CORRETAJE FERNANDA PINOCHET
Puente Alto Av mexi esquina san hugo;68000000;1;17-04-2025;2;90;95;;Puente Alto;-335.906.027;-705.657.773;Adb Administradora De Bienes Y Servicios
Lo Barnechea Lo Barnechea;761962500;4;17-04-2025;4;896;240;4;Lo Barnechea;-33.433.041;-7.053.371;Aguapiedra Propiedades
La Reina Cercana a av. Alcalde fernando castillo velasco;218820000;3;17-04-2025;3;90;150;;La Reina;-334.550.831;-705.379.219;
Las Condes Paul Harris 648;609570000;4;17-04-2025;6;220;500;;Las Condes;-33.410.725;-7.053.576;InviertePropiedades.com
Las Condes Albania 7257;398565000;3;16-04-2025;4;112;225;;Las Condes;-33.425.796;-70.556.084;InviertePropiedades.com
Penalolen Los Alerces 7062;468900000;4;16-04-2025;4;223;480;;Penalolen;-3.350.393;-70.559.598;InviertePropiedades.com
Puente Alto Hermosa casa amplia puente alto (12355);82000000;1;16-04-2025;3;68;75;2;Puente Alto;-335.932.308;-705.544.745;Tania Miranda Propiedades
Lo Barnechea Lo Barnechea El Huinganal;1441867500;4;16-04-2025;6;2005;625;10;Lo Barnechea;-333.399.298.385;-705.082.109.909;The Owner
San Miguel Llico 522;222727500;2;16-04-2025;5;123;306;;San Miguel;-33.505.674;-7.063.986;InviertePropiedades.com
Quilicura Cerro Catedral 177;130000000;1;16-04-2025;3;96;103;;Quilicura;-33.355.847;-70.735.145;InviertePropiedades.com
El Bosque Casa remodelada 5d-1b de 2 pisos  el bosque. Pasaje cerrado;120000000;1;16-04-2025;5;140;140;;El Bosque;-335.661.171;-706.740.481;
Lampa La Hacienda 2121;152392500;2;16-04-2025;3;80;181;1;Lampa;-3.329.245.749.711.380;-7.087.423.180.287.160;BEhouse Propiedades
Renca Huamachuco 2;80000000;1;16-04-2025;2;55;162;;Renca;-333.930.487;-706.999.028;Unne
La Florida Venta con excelente conectividad en La Florid (91972);145000000;2;16-04-2025;3;70;130;1;La Florida;-335.458.977;-705.777.836;
Lo Barnechea Colegio Santiago College;898725000;5;16-04-2025;5;340;808;2;Lo Barnechea;-333.325.216;-705.152.428;Cata Brochet
La Cisterna Venta Casa La Cisterna Avenida Goycolea. (91944);177791250;4;16-04-2025;10;260;385;3;La Cisterna;-335.372.015;-706.753.265;Arroba Propiedades
Puente Alto lanalhue;111363750;1;16-04-2025;2;66;145;2;Puente Alto;-335.675.634;-705.826.067;Easyprop
Buin Bajos de Matte con La Obra;79713000;1;16-04-2025;3;50;86;1;Buin;-3.372.039.894.740.230;-707.409.917.505.146;Grupo Premium Propiedades Santiago
Maipu Pje. Contao 2872;2135;1;16-04-2025;3;51;63;1;Maipu;-335.026.442;-707.942.544;Ancar Propiedades
Penaflor Venta de derecho a llaves;33000000;1;16-04-2025;1;60;60;;Penaflor;-336.008.645;-708.624.694;Unne
Providencia Conversable Amplia D Almagro/Leones (29789);543142500;2;16-04-2025;4;189;360;3;Providencia;-334.413.382;-705.918.861;Eme Erre Propiedades
Huechuraba Camino de la vina 1547 huechuraba;281340000;3;16-04-2025;4;140;250;2;Huechuraba;-333.511.264;-7.067.580.989.999.990;Easyprop
Lo Barnechea Avenida los litres / cerro loma larga;1168342500;5;16-04-2025;5;270;850;4;Lo Barnechea;-333.159.157;-7.055.261.159.999.990;Lyon y Balmaceda Ltda.
Quilicura Barrio plaza lo cruzat;125000000;2;16-04-2025;3;66;108;;Quilicura;-333.578.128;-707.291.318;Unne
San Bernardo Camino Cerro Negro;152392500;2;16-04-2025;3;87;137;1;San Bernardo;-336.132.862;-706.874.362;Houm
Maipu Villa del Sol;86000000;1;16-04-2025;3;70;90;1;Maipu;-335.259.773;-707.917.835;Easyprop
Buin Condominio Los Jardines de Linderos;160000000;3;16-04-2025;4;76;159;1;Buin;-337.544.632;-707.350.398;Easyprop
La Reina Simon Gonzalez 7201;586125000;3;16-04-2025;4;219;490;3;La Reina;-33.447.006.508.481.900;-7.055.733.964.280.130;Werner&kind Propiedades
Colina Av Chamisero;500160000;3;16-04-2025;3;181;360;3;Colina;-333.236.982;-706.320.791;Easyprop
Maipu En Venta Casa 2 Pisos en Conjunto Sol de Abril;70000000;2;16-04-2025;2;51;66;1;Maipu;-335.032.516;-707.900.243;Corretajes Prosal
Maipu En Venta Casa 2 Pisos en Ciudad Satelite;115000000;2;16-04-2025;5;88;128;1;Maipu;-335.606.029;-707.912.595;Corretajes Prosal
Independencia Palermo esquina independencia;235000000;2;16-04-2025;4;96;233;;Independencia;-334.087.522;-706.607.568;Unne
La Reina Simon bolivar 7060;894817500;3;16-04-2025;4;240;748;;La Reina;-334.451.532;-705.578.905;Unne
Maipu Pasaje genova villa del pacifico;136762500;1;16-04-2025;4;94;180;2;Maipu;-33.521.884;-70.761.017;
Penalolen Remodelar / Oportunidad (91699);214912500;2;16-04-2025;4;92;210;2;Penalolen;-334.996.879;-705.620.727;
Penalolen Las pircas;605662500;6;16-04-2025;6;220;780;8;Penalolen;-335.008.635;-70.521.767;
Colina La sierra de chicureo;359490000;2;16-04-2025;3;114;445;;Colina;-333.086.157;-706.708.188;
Melipilla Matias nunez / eduardo morales osorio;69950000;1;16-04-2025;3;72;115;2;Melipilla;-336.731.143;-712.104.778;Unne
San Jose de Maipo El manzano / san jose de maipo;265514625;2;16-04-2025;3;103;1537;;San Jose de Maipo;-335.758.178;-704.492.075;Unne
Buin Venta casa en Buin Oriente 3 dorm 3 B (42912);179745000;3;16-04-2025;3;94;188;2;Buin;-337.314.218;-707.196.353;Boedo propiedades
Pedro Aguirre Cerda Casa en venta de 4d/3b inversion hogar o negocio;270000000;3;15-04-2025;4;149;305;;Pedro Aguirre Cerda;-334.926.069;-706.656.365;Unne
Maipu Oportunidad casa en venta 3 pisos 4d 3b  luz gratis 132 mts;167944350;3;15-04-2025;4;132;260;1;Maipu;-334.916.701;-707.749.509;Unne
Lampa Casa en hermoso lugar de valle grande (91437);164115000;2;15-04-2025;3;70;140;2;Lampa;-333.284.569;-707.601.596;
Penalolen Se vende casa con excelente accesibilidad (91240);488437500;3;15-04-2025;3;140;400;2;Penalolen;-33.490.521;-705.762.922;María Propiedades
Curacavi La Aurora San Pastor | Casa En Venta (6D4B) | Curacavi | Alas Propiedades;464992500;4;15-04-2025;6;500;8000;2;Curacavi;-334.307.961.066.942;-7.101.477.609.227.800;Easyprop
La Cisterna Propiedad en venta con 2 casas terreno 425 m2 (91539);269617500;4;15-04-2025;9;226;425;3;La Cisterna;-335.380.316;-706.488.006;PAC Propiedades
El Bosque Venta casa uso comercial 507 mtrs2 (91532);255000000;2;15-04-2025;2;82;507;10;El Bosque;-335.433.744;-706.804.954;PAC Propiedades
Estacion Central Carlota carrasco/conde del maule;551426400;4;15-04-2025;7;420;420;3;Estacion Central;-334.545.511;-706.990.193;
Santiago San diego/ copiapo;601755000;8;15-04-2025;6;676;676;;Santiago;-334.550.385;-706.496.952;
Lo Barnechea La dehesa;918262500;5;15-04-2025;5;290;810;3;Lo Barnechea;-333.401.166;-705.257.259;Sucursal Cantagallo
Estacion Central Casa en venta de 228m25D4B3EBod (91413);150000000;4;15-04-2025;5;121;228;3;Estacion Central;-334.674.173;-706.981.304;NovaHome
Vitacura En venta/lo matta;527512500;4;15-04-2025;5;140;233;;Vitacura;-3.338.512.336;-7.054.525.533;Francisco Vial Propiedades
Penalolen Avenida Quebrada de Macul;374729250;3;15-04-2025;5;124;276;2;Penalolen;-335.068.012;-705.366.775;
Vitacura Casa en venta en vitacura (91690);898725000;4;15-04-2025;6;250;374;3;Vitacura;-333.803.038;-705.372.103;Innova Terra Propiedades
La Florida A 1 minuto de Metro Los Quillayes (70181);310000000;6;15-04-2025;9;349;446;2;La Florida;-335.612.052;-70.585.253;Royal Group Propiedades
Recoleta Avenida Peru/Valdivieso;504067500;3;15-04-2025;4;260;465;;Recoleta;-3.341.441.199;-7.063.684.816;Mauricio Pino Propiedades
Las Condes Casa en Sebastian Elcano/Isabel La Catolica (91777);467337000;2;15-04-2025;4;154;230;3;Las Condes;-334.248.878;-705.706.952;
Santiago Vendo casa 3 dorm 3 banos estacionam Nunoa (91653);313733175;3;15-04-2025;3;150;420;3;Santiago;-3.347.311;-706.084.499;Boedo propiedades
Pudahuel Oceania / la travesia - pudahuel;85000000;1;15-04-2025;4;93;120;;Pudahuel;-3.345.634;-7.075.637;Unne
La Reina Los Prunos / Tobalaba / Pepe Vila;543142500;4;15-04-2025;7;224;800;;La Reina;-334.548.614;-705.538.595;Berrios Zegers
Macul Maria Iriarte 4035;246172500;2;15-04-2025;5;120;225;;Macul;-335.048.534;-705.934.954;Berrios Zegers
La Reina Las tres Pascualas con Valenzuela Llanos;285000000;2;15-04-2025;6;116;207;;La Reina;-33.448.462.375.391.400;-7.053.979.246.589.510;Schumacher Propiedades
Melipilla Casa Familiar 3D+2B Estacionamiento (90277);80000000;2;15-04-2025;3;63;116;1;Melipilla;-336.823.884;-711.950.925;Royal Group Propiedades
Colina Oferta !!! oportunidad unica!!!!;507584250;3;15-04-2025;3;180;550;;Colina;-332.045.568;-706.759.615;Unne
Independencia Nueva Cinco 1526;155127750;2;15-04-2025;3;130;184;2;Independencia;-3.341.214.706.230.360;-7.067.527.583.611.450;
La Reina Valenzuela Puelma / Padre Hurtado;1085112750;4;15-04-2025;5;258;1332;7;La Reina;-33.433.262.546.843.000;-7.053.546.902.232.190;Invictus Spa
Colina Acogedora Casa en Chicureo Norte (91680);257895000;3;15-04-2025;3;116;252;;Colina;-332.134.624;-706.669.211;SANHER Propiedades
Santiago Casona patrimonial en barrio turistico Yungay (91303);361443750;5;15-04-2025;8;368;370;2;Santiago;-334.406.453;-706.769.328;SANHER Propiedades
Colina Tu Casa a pasos de la Laguna de Piedra Roja (91272);890910000;5;15-04-2025;6;270;1115;5;Colina;-33.278.029;-706.242.647;SANHER Propiedades
La Florida Acuario;110000000;1;15-04-2025;3;68;100;1;La Florida;-33.557.297;-7.059.470.739.999.990;Cadepar Propiedades SpA
El Bosque Colo colo;74000000;1;15-04-2025;2;64;160;3;El Bosque;-335.485.677;-706.860.402;Cadepar Propiedades SpA
Padre Hurtado Condominio alto el rosario padre hurtado los corrales;178221075;1;15-04-2025;2;68;5250;;Padre Hurtado;-335.717.312;-709.257.911;Unne
Penalolen Casa 5 habitaciones Avenida Las Perdices 4760 (91581);448971750;3;15-04-2025;5;140;357;3;Penalolen;-334.977.508;-705.379.638;RSA Gestión Inmobiliaria SpA
Cerrillos No especifica;245000000;;15-04-2025;;1000;1000;;Cerrillos;-335.041.325;-707.108.995;Good Propiedades Ltda.
Maipu Glorias Navales;89000000;2;15-04-2025;3;62;128;1;Maipu;-3.353.918.549.999.990;-707.782.939;Good Propiedades Ltda.
Maipu Isis;65000000;1;15-04-2025;3;55;55;1;Maipu;-335.022.932;-707.760.954;Good Propiedades Ltda.
Quinta Normal El quilo;120000000;2;15-04-2025;3;94;150;1;Quinta Normal;-334.338.539;-707.096.921;Good Propiedades Ltda.
Las Condes Alonso de camargo;427871250;3;15-04-2025;5;146;270;;Las Condes;-334.213.023;-705.523.537;Unne
Huechuraba Pedro Fontova  (91625);332137500;4;15-04-2025;5;160;240;2;Huechuraba;-333.569.136;-706.679.451;ASESORIA LEGAL Y CORRETAJE FERNANDA PINOCHET
Colina Condominio los algarrobos iv a;1074562500;5;15-04-2025;5;410;5000;6;Colina;-3.326.767.672.020.760;-7.066.216.812.487.570;Easyprop
Puente Alto Eduardo Cordero;60000000;1;15-04-2025;2;60;75;1;Puente Alto;-336.049.334;-705.586.927;
La Florida (VAG 13.480) Casa en venta en Guayacan con Rojas Magallanes;97687500;1;15-04-2025;3;62;162;1;La Florida;-3.353.600.219.174.460;-7.060.166.719.586.240;Elitte Propiedades
Lo Barnechea Espectacular Vista // Remodelada (91620);1027672500;4;15-04-2025;5;313;900;5;Lo Barnechea;-333.365.534;-705.087.142;
Santiago Santiago Vitacura;1250400000;4;15-04-2025;5;874;301;5;Santiago;-333.743.014;-705.624.537;Homehunters A.G.I
La Reina Metro Simon Bolivar /Echenique /Jesus;271571250;2;15-04-2025;3;80;110;1;La Reina;-334.456.540.818.356;-7.056.818.008.071.450;Vivax
Penalolen Las Aguilas/Violeta Cousino;252033750;2;15-04-2025;4;109;186;2;Penalolen;-334.760.656.355.409;-7.054.898.200.048.180;Easyprop
Padre Hurtado Los Ceibos 1100 Condominio Alto La Cruz;261802500;3;15-04-2025;3;112;198;2;Padre Hurtado;-335.715.821;-7.082.856.749.999.990;Easyprop
La Florida Sta Cornisa 9367;257895000;2;15-04-2025;3;75;234;3;La Florida;-335.382.921;-705.633.369;Easyprop
Maipu Salar de Huasco Norte;142233000;3;15-04-2025;3;75;97;1;Maipu;-335.658.993;-707.785.956;Houm
Pedro Aguirre Cerda Las Violetas;93780000;1;14-04-2025;3;113;152;;Pedro Aguirre Cerda;-334.986.985;-7.068.401.759.999.990;Houm
Quilicura Estadio Chinquihue;93000000;1;14-04-2025;4;91;80;1;Quilicura;-333.515.242;-707.371.072;BEhouse Propiedades
Cerro Navia Salvador Gutierrez Cerro Navia Santiago Chile;148500000;1;14-04-2025;2;133;192;;Cerro Navia;-334.173.628;-707.450.259;
San Bernardo Rio frio;74950000;2;14-04-2025;4;102;68;2;San Bernardo;-335.912.625;-706.750.388;Terrasur Gestión Inmobiliaria
Pudahuel Isla de Pascua;160207500;3;14-04-2025;4;90;120;2;Pudahuel;-334.558.123;-7.076.221.919.999.990;Barros Propiedades
El Bosque Alejandro Guzman 1483;70000000;1;14-04-2025;2;55;275;1;El Bosque;-335.577.468;-7.065.796;Barros Propiedades
Nunoa Tte Compton;547050000;3;14-04-2025;3;350;700;3;Nunoa;-33.455.251;-70.623.475;Barros Propiedades
Quilicura Del rodeo;195375000;2;14-04-2025;4;180;100;2;Quilicura;-33.353.624;-7.073.223.899.999.990;Houm
La Reina Carlos Ossandon;14500;3;14-04-2025;4;156;410;5;La Reina;-3.343.533.908.011.810;-7.054.310.016.071.020;ConVero.cl  VVV asesorías Inmobiliarias
Providencia Antonio Varas;543142500;5;14-04-2025;7;286;300;3;Providencia;-334.390.112;-706.137.588;ConVero.cl  VVV asesorías Inmobiliarias
Puente Alto Merlot / las palmas;185000000;3;14-04-2025;4;140;230;1;Puente Alto;-335.553.922;-705.333.452;Unne
San Bernardo Padre hurtado;78000000;2;14-04-2025;3;70;70;1;San Bernardo;-33.586.205;-706.768.219;Unne
Penalolen Juan f gonzalez;320415000;3;14-04-2025;4;140;226;1;Penalolen;-3.348.080.040.000.000;-7.055.411.430.000.000;Nexxos
La Florida El Coihue de Chiloe;310646250;2;14-04-2025;4;125;350;;La Florida;-33.536.373;-70.553.148;Nexxos
San Bernardo Villa nova vida;105000000;2;14-04-2025;3;86;122;;San Bernardo;-336.035.323;-706.739.159;Movahome Corredores Integrados
Maipu Av. Alcalde Jose Luis Infante Larrain;127000000;1;14-04-2025;3;65;152;1;Maipu;-335.166.667;-707.666.667;Easyprop
Pudahuel Ciudad de los valles pudahuel;196000000;3;14-04-2025;3;120;220;;Pudahuel;-334.553.428;-70.854.445;
Penaflor Presbitero felix zaragoza y adolfo silva;139107000;3;14-04-2025;3;91;152;;Penaflor;-33.599.967;-70.854.492;Brokers Inmobiliarios
Penaflor Presbitero zaragoza y la campana;194593500;3;14-04-2025;3;115;222;;Penaflor;-335.995.111;-708.538.741;Brokers Inmobiliarios
Colina Mirador del valle - batuco;230542500;2;13-04-2025;2;100;7300;;Colina;-331.906.429;-707.249.741;
San Bernardo Condominio la estancia de nos;97000000;2;13-04-2025;3;59;86;;San Bernardo;-336.357.435;-707.095.929;Unne
Lo Espejo Pasaje 62 con carlos dittborn;74990000;2;13-04-2025;3;80;125;3;Lo Espejo;-335.119.011;-706.763.316;Movahome Corredores Integrados
Pirque Leonardo Prieto Vial parcela 54;654506250;7;12-04-2025;9;366;5000;;Pirque;-336.874.736;-705.883.812;Propiedades Urzúa Ltda.
Lo Barnechea Camino del Cerro / Los Refugios con Quebrada Verde;425917500;3;12-04-2025;5;140;3752;2;Lo Barnechea;-3.337.168.564.968.990;-706.474.625.042.124;Cata Brochet
Macul Se vende casa cercana a servicios (91184);339561750;3;12-04-2025;3;160;340;5;Macul;-335.046.561;-706.124.351;María Propiedades
Maipu Villa jardines de santa maria con asuncion;180000000;3;12-04-2025;4;93;152;;Maipu;-335.010.945;-707.799.862;Unne
Maipu Casa en venta (74761);97687500;2;12-04-2025;3;90;100;1;Maipu;-33.544.886;-707.722.053;H&B corredores
Puente Alto Ciudad del Este. Diego Portales (90826);218000000;2;12-04-2025;3;90;20;2;Puente Alto;-33.564.854;-7.054.839;
Lampa Excelente casa en venta 3d+3b+ sala de estar (91207);195375000;3;12-04-2025;3;120;216;3;Lampa;-333.246.244;-707.516.267;
Recoleta Venta Casa Lientur/Av Zapadores (75851);125000000;1;12-04-2025;2;66;130;2;Recoleta;-333.897.526;-706.388.044;Rovic Gestión Inmobiliaria SpA
San Bernardo El Topacio Con Avda General Urrutia (90612);85000000;2;12-04-2025;3;75;85;1;San Bernardo;-336.167.548;-707.023.747;
Padre Hurtado Rodolfo jaramillo // padre hurtado;175837500;3;12-04-2025;3;95;200;;Padre Hurtado;-335.651.629;-7.082.405;Unne
Vitacura Candelaria Goyenechea (90779);644737500;4;12-04-2025;3;140;200;2;Vitacura;-333.937.483;-705.877.045;
El Bosque Casa ideal para familia o adulto mayor (91092);86355750;1;12-04-2025;3;74;90;;El Bosque;-335.760.918;-706.901.379;Valat Propiedades
Paine Casa paine centro (91026);72288750;1;12-04-2025;4;60;83;1;Paine;-338.067.668;-707.340.638;K&C Gestión Inmobiliaria
Renca Casa 2d/1b cercano vic mackenna/costanera (90975);85000000;1;12-04-2025;2;40;127;1;Renca;-334.081.965;-707.450.887;MZ PROPIEDADES
El Bosque Avenida Nueva Imperial con Continental Oriente;64900000;1;12-04-2025;3;52;102;1;El Bosque;-3.357.634.826.104.680;-7.066.419.407.470.410;Grupo Premium Propiedades Santiago
Quilicura Vergel/ lo campino / barrio el alba ii;155909250;2;12-04-2025;3;80;128;3;Quilicura;-333.799.473;-707.286.254;Grupo Premium Propiedades Santiago
Padre Hurtado Av. La laguna;320415000;4;12-04-2025;4;137;345;2;Padre Hurtado;-33.562.555.014.717.600;-7.083.449.954.666.800;Grupo Premium Propiedades Santiago
Puente Alto Juan de dios malebran con jorge ross ossa;140670000;2;12-04-2025;3;86;186;1;Puente Alto;-335.948;-7.059.088;Unne
La Reina Condominio Familiar  seguro y tranquilo (72179);543142500;3;12-04-2025;4;140;329;2;La Reina;-334.407.825;-705.450.111;AS Gestión Inmobiliaria
Lo Barnechea Bdo. Larrain Cotapos / Av. La Dehesa;1064793750;4;12-04-2025;5;281;840;4;Lo Barnechea;-333.406.074;-705.259.191;Cruz Balmaceda
Las Condes Barrio tranquilo y seguro (90840);582217500;3;12-04-2025;4;171;407;4;Las Condes;-334.101.668;-70.547.417;AZOTEA PROPIEDADES
Lo Barnechea El rodeo 13700 lo barnechea;699442500;3;12-04-2025;4;250;550;;Lo Barnechea;-333.503.393;-705.047.455;Unne
Las Condes Se vende casa/manquehue;507975000;2;12-04-2025;3;128;247;;Las Condes;-3.341.662.305;-7.056.477.669;Francisco Vial Propiedades
Pudahuel Metro caminando (91038);65000000;1;12-04-2025;3;52;80;1;Pudahuel;-334.476.709;-707.542.311;SOCIEDAD DE INVERSIONES MONTESANTO LTDA
Penalolen Linda casa ailada 3D2B (91166);281340000;2;12-04-2025;3;110;240;2;Penalolen;-334.807.391;-705.489.467;SNV Propiedades
Lo Barnechea Maravillosa casa en Las Pataguas (63959);1363717500;6;12-04-2025;5;400;1297;6;Lo Barnechea;-333.486.966;-705.408.147;Apud & Asociados, Broker & Invest SpA
Las Condes Preciosa Casa / Gotland Las Condes (90822);586125000;3;12-04-2025;4;162;206;2;Las Condes;-334.027.699;-705.631.913;Corredoramic
La Florida Ponce de Zamora Cinco;234059250;3;12-04-2025;6;206;200;2;La Florida;-3.353.712.060.000.000;-7.056.771.150.000.000;Houm
Puente Alto Casa venta comuna puente alto (91233);55000000;1;12-04-2025;3;50;70;1;Puente Alto;-335.930.949;-706.012.691;NL Asesoría Legal Inmobiliaria
Padre Hurtado Oportunidad unica venta casa (91048);116834250;2;12-04-2025;3;69;99;2;Padre Hurtado;-335.715.228;-708.159.905;CCM Properties
Maipu Oferta!!!!Se vende casa Maipu en buen estado (91047);73000000;2;12-04-2025;2;60;100;1;Maipu;-335.042.257;-707.975.603;CCM Properties
Puente Alto Eyzaguirre/Lomas del maipo;136762500;1;12-04-2025;3;63;100;;Puente Alto;-3.361.233.449;-7.054.028.882;Jorge Pablo Caro Propiedades
Colina Acogedora casa en Piedra Roja (91182);453270000;4;12-04-2025;4;140;538;2;Colina;-332.588.123;-706.426.845;NDM Propiedades
Lo Barnechea increible duplex de 450m (90781);2539875000;5;12-04-2025;4;450;500;4;Lo Barnechea;-333.669.086;-70.545.604;G&G Gestión Inmobiliaria SpA
Colina Casa en condominio de Chamisero (91052);464992500;4;12-04-2025;5;180;420;4;Colina;-333.106.212;-706.593.216;Mariani Propiedades
Maipu Bella casa en venta rebajada!!! (64841);113317500;1;12-04-2025;2;70;120;1;Maipu;-334.681.308;-707.531.176;Asesorías Valenzuela Lorca Propiedades
Las Condes Geronimo de alderete;519697500;3;12-04-2025;4;148;276;1;Las Condes;-333.975.025;-70.558.431;Brokers Inmobiliarios
Pudahuel Pudahuel Casa en Venta 3D2B estacionamiento  (91067);220000000;2;12-04-2025;3;80;207;2;Pudahuel;-334.646.008;-707.364.966;CC PROPIEDADES
La Cisterna Gran Avenida Jose Miguel Carrera/El Parron;257895000;2;12-04-2025;5;145;280;;La Cisterna;-3.353.247.858;-7.065.603.079;Mauricio Pino Propiedades
La Reina Colegio Santo Domingo  (90992);894817500;4;12-04-2025;5;250;600;3;La Reina;-334.571.939;-705.233.093;ASESORIA LEGAL Y CORRETAJE FERNANDA PINOCHET
Las Condes Manuel Barrios / Sebastian Elcano (90888);425917500;3;12-04-2025;5;220;140;;Las Condes;-33.428.594;-705.704.748;
Las Condes San Carlos de Apoquindo cercano UDD;1133175000;6;12-04-2025;5;298;582;3;Las Condes;-333.879.403;-705.012.332;Cruz Balmaceda
La Florida Camino del Monte/Camino de La Naturaleza;332137500;3;12-04-2025;4;128;250;;La Florida;-3.351.905.381;-7.052.556.396;Luz Godoy Propiedades
La Florida Perpetua freire entre geronimo de alderete y santa julia;253987500;3;12-04-2025;3;91;160;;La Florida;-335.298.408;-705.914.324;Unne
Padre Hurtado Av. Santa Herminia 1551 Laguna del Sol;298923750;4;12-04-2025;5;137;408;6;Padre Hurtado;-335.623.906;-708.288.927;Easyprop
Conchali Venta Casa Sauzal/Juncal Conchali (75860);92000000;2;12-04-2025;2;50;194;1;Conchali;-333.766.547;-706.878.641;Rovic Gestión Inmobiliaria SpA
Vitacura Santa Maria de Manquehue / Camino el Condor (84986);2305425000;4;12-04-2025;4;400;5000;10;Vitacura;-333.687.566;-705.668.613;CALMA PROPIEDADES
